S,B,is_validation,status,stage,latency,memory,energy,flops_reference,energy_error,free_bytes_before,energy_passes,energy_duration,energy_method
128,8,False,OK,done,0.0008489110000482469,22642688,0.0649016835016835,2324319008,,15472590848,2970,3.0064568360000976,nvml_counter
224,2,False,OK,done,0.0009470364999515368,21308928,0.05060501319261214,1778262728,,15472590848,3790,3.0011273200000232,nvml_counter
80,256,True,OK,done,0.018026979500064044,223707136,1.1747764705882353,29102924800,,15472590848,170,3.054074055000001,nvml_counter
64,16,False,OK,done,0.00054529049998564,19497472,0.03795534351145038,1165923904,,15472590848,5240,3.0050293489998694,nvml_counter
272,29,True,OK,done,0.012973869000006744,225260544,0.8373130434782609,38015122004,,15472590848,230,3.0027213250000386,nvml_counter
80,179,True,OK,done,0.012527595999927144,170356736,0.8335916666666667,20349310700,,15472590848,240,3.0548241770000004,nvml_counter
512,8,False,OK,done,0.01246840149997297,156336128,0.831475,37151460128,,15472590848,240,3.0008192160000817,nvml_counter
32,56,True,OK,done,0.0007269920000680941,17629184,0.05163617571059431,1033358816,,15472590848,3870,3.0050603360000423,nvml_counter
128,56,True,OK,done,0.005653051499962203,76120064,0.36995185185185187,16270233056,,15472590848,540,3.007048212999962,nvml_counter
272,2,True,OK,done,0.0008112484999855951,23822336,0.0645264705882353,2621732552,,15472590848,3060,3.005674515999999,nvml_counter
384,128,False,OK,done,0.15889193999998952,1699840000,10.32245,334380708352,,15472590848,20,3.1822146030001477,nvml_counter
400,8,True,OK,done,0.007908732000146301,102244352,0.512225641025641,22676429600,,15472590848,390,3.0719907509999302,nvml_counter
32,64,False,OK,done,0.000725663500020346,18186240,0.05637352112676056,1180981504,,15472590848,3550,3.000806094000154,nvml_counter
64,2,False,OK,done,0.0005566244999499759,24117248,0.040450104384133614,145740488,,15472590848,4790,3.000655232000099,nvml_counter
512,179,True,OK,done,0.4045159774999547,4508925952,26.6301,831263920364,,15472590848,10,4.042533460999948,nvml_counter
32,8,False,OK,done,0.000574135000078968,19537920,0.03300611111111111,147622688,,15472590848,5400,3.004217421000021,nvml_counter
64,29,True,OK,done,0.0008374555000045802,21807104,0.06072957317073171,2113237076,,15472590848,3280,3.0004167940001025,nvml_counter
128,4,False,OK,done,0.0005578884999977163,19497984,0.03878891050583658,1162159504,,15472590848,5140,3.002860733000034,nvml_counter
272,1,True,OK,done,0.0005160429999477856,19938304,0.04051724845995893,1310866276,,15472590848,4870,3.000385219000009,nvml_counter
512,16,False,OK,done,0.023247988999969493,399734784,1.5372999999999999,74302920256,,15472590848,130,3.0303759989999435,nvml_counter
32,32,False,OK,done,0.0006146429998352687,15958016,0.039206835937500004,590490752,,15472590848,5120,3.0038398159999815,nvml_counter
352,1,True,OK,done,0.0006992195000066204,22535168,0.055752124645892354,2195149156,,15472590848,3530,3.002574846000016,nvml_counter
400,29,True,OK,done,0.02760786049998387,482766848,1.8114454545454544,82202057300,,15472590848,110,3.022117471999991,nvml_counter
384,64,False,OK,done,0.05342586349991052,857407488,3.43505,167190354176,,15472590848,60,3.2088005210000574,nvml_counter
224,32,False,OK,done,0.009902721499997824,174673920,0.66591,28452203648,,15472590848,300,3.0023848400001043,nvml_counter
224,4,False,OK,done,0.0013045844999624023,27377664,0.08848161434977578,3556525456,,15472590848,2230,3.0100934829999915,nvml_counter
400,2,True,OK,done,0.0017881015000966727,35489792,0.13035974025974026,5669107400,,15472590848,1540,3.0143740379999144,nvml_counter
128,179,True,OK,done,0.025767342499989354,321093632,1.7249833333333333,52006637804,,15472590848,120,3.084383664999905,nvml_counter
384,2,False,OK,done,0.001800715000058517,33783808,0.1211478527607362,5224698568,,15472590848,1630,3.0126790720000827,nvml_counter
256,2,False,OK,done,0.0006789784999909898,22906880,0.05760728862973761,2322436808,,15472590848,3430,3.0063325070000246,nvml_counter
512,128,False,OK,done,0.280840347499975,3092348928,18.6272,594423362048,,15472590848,20,5.664998297000011,nvml_counter
272,56,True,OK,done,0.025079986000037024,431923200,1.6642666666666666,73408511456,,15472590848,120,3.0059896620000472,nvml_counter
400,56,True,OK,done,0.053665228499994555,936075264,3.54745,158735007200,,15472590848,60,3.21368491599992,nvml_counter
352,56,True,OK,done,0.04049986849997822,681607168,2.666375,122928352736,,15472590848,80,3.2384404399999767,nvml_counter
128,29,True,OK,done,0.0030254680000325607,46628864,0.19135728155339807,8425656404,,15472590848,1030,3.026292349999949,nvml_counter
224,179,True,OK,done,0.0849926385001254,950431744,5.48665,159154514156,,15472590848,40,3.4188216979998742,nvml_counter
352,32,True,OK,done,0.022948517000031643,366837760,1.5350076923076923,70244772992,,15472590848,130,3.002235894000023,nvml_counter
224,1,False,OK,done,0.000514509999902657,18699776,0.03439860869565217,889131364,,15472590848,5750,3.0013263499999994,nvml_counter
352,16,True,OK,done,0.011695251499986625,191234048,0.79335,35122386496,,15472590848,260,3.0689652000000933,nvml_counter
